Date,Source,Author,URL,Title,Excerpt
01/29/19,Cher,Cher,https://twitter.com/cher/status/1090463098224500736,,"Jussie Smollett,’Empire' Actor, Reportedly Attacked In Possible Hate Crime.NPR. VILLAINY, RACISM,HOMOPHOBIA,    PROMOTED BY MOST INFAMOUS 🤡IN 🌎,IS THE POISON THAT KILLS🇺🇸.WHITE ONLY IS NOT RIGHT.🇺🇸 IS PPL OF COLOR.🙏🏻GOP GOES DOWN WITH SHIP djt"
01/29/19,Al Sharpton,Al Sharpton,https://twitter.com/thereval/status/1090293213682982913,,"The reported hate attack on my friend and brother, actor Jussie Smollett is despicable and outrageous. The guilty must face the maximum."
01/29/19,"Yamiche Alcindor
",Yamiche Alcindor,https://twitter.com/yamiche/status/1090288879482085377,,"Hoping for a full recovery for @JussieSmollett, who TMZ is reporting was brutally attacked by 2 men who beat him up, put his head in a noose & screamed, ""This is MAGA country."" We have to do better as a country. This is disgusting."
01/29/19,Twitter,Twitter,https://mobile.twitter.com/i/events/1090300314853371904,,"Jussie Smollett Hospitalized After A Homophobic, Racist AttackJussie Smollett has been hospitalized in Chicago after a homophobic and racist attack, ET can confirm."
01/29/19,ET,ET,https://mobile.twitter.com/etnow/status/1090286012578828288,,BREAKING: Jussie Smollett has been hospitalized in Chicago after a possible homophobic and racially charged attack.
01/29/19,"Human Rights Campaign
",Human Rights Campaign,https://mobile.twitter.com/HRC/status/1090300938391298048,,Our thoughts are with Jussie Smollett after this horrifying attack. It’s a tragic reminder that racism and homophobia are still rampant in the U.S. @HRC applauds the Chicago Police Department for investigating this attack against @JussieSmollett as a possible hate crime.
01/29/19,"EBONY MAGAZINE
",EBONY MAGAZINE,https://twitter.com/ebonymag/status/1090304002326069248,,"Jussie Smollett was reportedly attacked at 2am by two men in ski masks. The two attackers also placed a noose around his neck.  He is currently receiving treatment at the Northwestern Memorial. Prayers for Jussie & his family during this difficult time…. Jussie Smollett received a “chilling threat” in the mail prior to the attack. The sender cut out letters from a magazine, spelling out, “you will die Black f*g,” alongside a drawing of a stick figure being hung from a tree with a gun it’s face."
01/29/19,"Mindy Kaling
","Mindy Kaling
",https://twitter.com/mindykaling/status/1090348980007886849,,"I am disgusted and horrified to hear of the homophobic and racial attack on Jussie Smollett last night. Unfortunately, these hateful attacks happen way too often. We must call out and hold those accountable. Sending love to you, Jussie."
01/29/19,"John Legend
","John Legend
",https://twitter.com/johnlegend/status/1090306177102098432,,Sending love to Jussie and the Smollett family after this horrific attack.  We support you and pray that you find peace and justice.
01/29/19,CNN,Karen Finney,https://twitter.com/finneyk/status/1090379196910764032,,This is why so many of us just feel less safe in Black and Brown skin these days. Prayers for Jussie & #stopthehate  Jussie Smollett attacked in possible hate crime – CNN
01/29/19,Rep. Jimmy Gomez,Rep. Jimmy Gomez,https://twitter.com/repjimmygomez/status/1090407780463316992?ref_src=twsrc%5Etfw,,They hurled racist & homophobic slurs at him. They hit him in the face. They covered him in an unknown chemical substance & put a noose around his neck. Don’t know who these cowards are but what they did to Jussie Smollett makes me sick. We got your back Jussie. #JusticeForJussie
01/29/19,ADL,ADL,https://twitter.com/adl/status/1090307488828833798,,"This sickening, vile reported attack on @EmpireFOX star @JussieSmollett
 is a disturbing reminder of the terrible homophobia & racism that plagues society. We stand with you, Jussie and will never stop fighting against this kind of hateful violence."
01/29/19,Twitter,Twitter,https://twitter.com/twittermoments/status/1090297408888676352,,"Empire actor Jussie Smollett was attacked in a possible hate crime in Chicago, according to police. He is currently in the hospital but in good condition."
01/29/19,NBC,NBC,https://twitter.com/nbcnews/status/1090309140507959297,,"Police: ""Empire"" actor Jussie Smollett was assaulted in Chicago on Tuesday by two men who hurled racial and homophobic slurs at him and wrapped a rope around his neck, the actor has told police; the incident is being investigated as a hate crime."
01/30/19,Chicago Sun-Times,@NaderDIssa,https://twitter.com/Suntimes/status/1090753491172249601,,"BREAKING: Chicago police officials have surveillance images that show two persons of interest in the alleged racist and homophobic attack on ""Empire"" actor Jussie Smollett, @NaderDIssa
 reports. Check back for more on this developing story:"
01/29/19,Kevin Bacon,Kevin Bacon,https://twitter.com/kevinbacon/status/1090346295301001216?ref_src=twsrc%5Etfw,,So sad and horrified at this #JussieSmollett attack. Jussie you are in our thoughts and we are hoping for a speedy recovery. Hate will not win.
01/30/19,Wendy Williams,Wendy Williams,https://twitter.com/wendywilliams/status/1090731380659474432,,"Our love is with @JussieSmollett
 as he recovers from a brutal, racist and homophobic attack outside his apartment."
01/29/19,NAACP,Derrick Johnson,https://web.archive.org/web/20190129220956/https://naacp.org/latest/naacp-statement-racist-homophobic-attack-jussie-smollett/,,"[since deleted] NAACP Statement on Racist and Homophobic Attack on Jussie Smollett

“The recent racist and homophobic attack on acclaimed actor and activist Jussie Smollett is troubling. The rise in hate crimes is directly linked to President Donald J. Trump’s racist and xenophobic rhetoric. It is dangerous for any society to allow a tone of divisiveness and hatred to dominate the political discourse. As this rhetoric continues to bleed into our everyday lives, dangerous behavior will continue to place many law-abiding individuals at risk. We pray for a full physical and mental recovery Jussie Smollett and many unnamed victims of this forum of hate based terrorism” Derrick Johnson, NAACP President and CEO
"
01/29/19,Shaun Robinson,Shaun Robinson,https://mobile.twitter.com/shaunrobinson/status/1090289401270218752,,This is horrific. Absolutely horrific. I am in tears over this.  'Empire' Star Jussie Smollett Beaten in Homophobic Attack By MAGA Supporters | TMZ
01/29/19,TMZ,TMZ,https://www.tmz.com/2019/01/29/empire-star-jussie-smollett-attacked-hospitalized-homophobic-hate-crime/,,Jussie Smollett Tells Cops Attackers Shouted 'MAGA Country' ... 'Empire' Calls in Armed Security 
01/29/19,Bernie Sanders,Bernie Sanders,https://twitter.com/sensanders/status/1090376521171304448,,The racist and homophobic attack on Jussie Smollett is a horrific instance of the surging hostility toward minorities around the country. We must come together to eradicate all forms of bigotry and violence.
01/29/19,Forbes,Ruth Umoh,https://twitter.com/forbes/status/1092245106290315265,,The hate crime attack against Jussie Smollett is emblematic of our time
01/29/19,"Billie Jean King
","Billie Jean King
",https://twitter.com/billiejeanking/status/1090371466380627968,,"The racist, homophobic attack on @JussieSmollett
 reminds us that crimes targeting people for the color of their skin and who they love still happen. We must stand united against this hateful violence. Sending Jussie love and prayers for a quick recovery."
01/29/19,Cory Booker,Cory Booker,https://twitter.com/CoryBooker/status/1090341255786184704,,"The vicious attack on actor Jussie Smollett was an attempted modern-day lynching. I'm glad he's safe.

To those in Congress who don't feel the urgency to pass our Anti-Lynching bill designating lynching as a federal hate crime– I urge you to pay attention."
01/29/19,GQ,GQ,"https://twitter.com/gqmagazine/status/1090387915149111301
",,"The racist, homophobic attack on Jussie Smollett is far-right America's endgame"
01/29/19,GQ,Joshua Rivera,https://www.gq.com/story/jussie-smollett-hate-crime?utm_brand=gq&utm_social-type=owned&mbid=social_twitter&utm_source=twitter&utm_medium=social,,"Editor's Note, 2/22: In the original version of this piece, published January 29, before allegations that actor Jussie Smollett had perpetrated a hoax, GQ made two errors in editorial judgment. We failed to clearly present the post as an opinion piece. And we regret applying unfounded political motivations to then-breaking news with the original headline: ""The Racist, Homophobic Attack on Jussie Smollett Is Far-Right America's Endgame."" We have altered the headline, but have otherwise left the original post unaltered."
01/29/19,NYT,NYT,"https://twitter.com/nytimes/status/1090328742231191554
",,"Jussie Smollett, one of the stars of the television show “Empire,” was attacked in Chicago by 2 assailants who yelled racial and homophobic slurs. The incident is being investigated as “a possible hate crime,” according to the police."
01/29/19,NYT,Sopan Deb,https://www.nytimes.com/2019/01/29/arts/television/empire-jussie-smollett-attacked.html,,"Jussie Smollett, one of the stars of the Fox television show “Empire,” was attacked in Chicago early Tuesday morning by two people who yelled racial and homophobic slurs and wrapped a rope around his neck, according to the police, who said they were investigating the incident as “a possible hate crime.”"
01/30/19,Gavin Newsom,Gavin Newsom,"https://twitter.com/gavinnewsom/status/1090650415258103813
",,"This kind of violence should be unacceptable. We cannot continue to allow racism, homophobia, transphobia, anti-semitism, or any other form of hate continue to drive violence in our country."
01/29/19,Joe Biden,Joe Biden,"https://twitter.com/joebiden/status/1090422326783606784
",,"What happened today to @JussieSmollett
 must never be tolerated in this country. We must stand up and demand that we no longer give this hate safe harbor; that homophobia and racism have no place on our streets or in our hearts. We are with you, Jussie."
